Date,Time,Event,Organizer,Registration,,,,,,,
"28th February, Friday",10:00am-12:00pm,Grind and Grow ☕ by HypeLab & Safary,Safary and HypeLab,https://lu.ma/grindandgrow,,,,,,,
"28th February, Friday",10:00am-12:30pm,Friends of Magna Brunch,Magna,https://lu.ma/u18p7dri,,,,,,,
"28th February, Friday",10:00am-3:00pm,"The Chain Reaction: DeSci, Longevity & AI","Supermoon, Peanut and Avi",https://lu.ma/19utaern,,,,,,,
"28th February, Friday",10:00am-4:00pm,"ETH Rising hosted by Re, Bitwise & NEAR",Re and Electric Capital,https://lu.ma/ethrising,,,,,,,
"28th February, Friday",10:00am-5:00pm,Bitcoin Renaissance (Day 2) hosted by Babylon,Babylon,https://lu.ma/smocg8zb,,,,,,,
"28th February, Friday",10:00am-5:30pm,Bleeding Edge Summit @ETHDenver Crypto Academic Conference,Bleeding Edge,https://lu.ma/bleedingedge,,,,,,,
"28th February, Friday",10:00am-9:00pm,Marketers Only by Hype & Friends,Hype,https://lu.ma/yzsvui6x,,,,,,,
"28th February, Friday",10:00am-12:00pm,Bitcoin DeFi Breakfast hosted by Babylon,Babylon Labs,https://lu.ma/87smd94t,,,,,,,
"28th February, Friday",10:00am-1:00pm,Circle Dev Summit Denver: Connect with the Circle Developer Community,Circle,https://lu.ma/4pvx6czk,,,,,,,
"28th February, Friday",11:00am-2:00pm,ETHDenver Founders & Investors Brunch 🎮✨ (invite only),Fractl,https://lu.ma/ethden_gaming,,,,,,,
"28th February, Friday",11:00am-3:00pm,The Rollup Day by Zeeve (Eth Denver),Zeeve RaaS,https://lu.ma/zeeve-therollupde,,,,,,,
"28th February, Friday",11:00am-11:00pm,AI Hype(r)House by Hyperbolic + EigenLayer,Hyperbolic,https://lu.ma/hyperhouse,,,,,,,
"28th February, Friday",11:30am-5:00pm,Agentic Crypto Day,AltLayer,https://lu.ma/AltLayerDoesDer,,,,,,,
"28th February, Friday",12:00pm-2:00pm,Foundation Finance: CFO Luncheon @ ETHDenver,Caladan,https://lu.ma/FoundationFi,,,,,,,
"28th February, Friday",12:00pm-3:00pm,Meet the VCs at ETH Denver,"TBV, Petastic, Fideum, Zekr",https://lu.ma/TBE.MTVC.ETHD,,,,,,,
"28th February, Friday",12:00pm-6:00pm,Proof Point,LAGRANGE,https://lu.ma/proofpoint,,,,,,,
"28th February, Friday",12:30pm-6:00pm,Web3+AI & Consumer dApps - OnePieceCon,OnePiece Labs and 0G Labs,https://lu.ma/OPC2025FEB,,,,,,,
"28th February, Friday",12:30pm-6:00pm,Bitcoin Next - Ep. 25 | BTC Denver,Bitlayer,https://lu.ma/bitlayer2025denv,,,,,,,
"28th February, Friday",1:00pm-2:00am,ETHDenver Vibe Check 3.0,Proof of Vibes,https://partiful.com/e/ixqV6dvti,,,,,,,
"28th February, Friday",1:00pm-4:00pm,ETH Denver Happy Hour (Lazer x Caldera x Azura),Lazer,https://lu.ma/uqgz6m75,,,,,,,
"28th February, Friday",4:00pm-6:00pm,Orange JAM - ETHDenver Founder Meetup,Orange DAO,https://lu.ma/k27x7jxn,,,,,,,
"28th February, Friday",4:00pm-6:00pm,Circle Dev Summit Denver: Celebrate at the Community Happy Hour,Circle,https://lu.ma/dujvkdf7,,,,,,,
"28th February, Friday",4:00pm-6:00pm,EthDenver: Official Privacy and Security Happy Hour,Midnight Network and Openz,https://lu.ma/wlijtrst,,,,,,,
"28th February, Friday",4:00pm-6:00pm,"Supercharge your crypto: DeFi yield strategies for newbs, farmers, whales",Exponential.fi,https://lu.ma/1xkv7el5,,,,,,,
"28th February, Friday",4:00pm-7:00pm,Snowboarding w/ Friends,Mensana Fitness and Super,https://lu.ma/swqfecgm,,,,,,,
"28th February, Friday",4:00pm-7:30pm,Afternoon TEE Party,"Oasis, Phala, Automata",https://lu.ma/n0aepief,,,,,,,
"28th February, Friday",4:00pm-8:00pm,Filecoin Code n' Corgi Denver,"FIL-B, Filecoin Foundation",https://lu.ma/gd767xu5,,,,,,,
"28th February, Friday",4:00pm-8:00pm,KOLs Gathering: Denver Edition,Cointelegraph Accelerator,https://lu.ma/b1709f90,,,,,,,
"28th February, Friday",5:00pm-7:00pm,DePIN & AI Happy Hour – Cocktails & Live Beats,Impossible Cloud Network,https://lu.ma/ta2qj1wu,,,,,,,
"28th February, Friday",5:00pm-7:00pm,Product Manager Networking Nexus - ETHDenver,Jeff Cangialos,https://lu.ma/ruxwsspo,,,,,,,
"28th February, Friday",5:00pm-7:00pm,"Diamonds Are Forever | AR.IO Arweave, & the AO Computer Club's ETH",AR.IO,https://lu.ma/fufammka,,,,,,,
"28th February, Friday",5:00pm-9:00pm,zkFriends Night @ ETHDenver,Mina Protocol and 0xLabs,https://lu.ma/Ikx1t90q,,,,,,,
"29th February, Friday",6:00pm-10:00pm,Game7 Happy Hour,EduDAO,https://lu.ma/9hy8ikd9,,,,,,,
"29th February, Friday",6:00pm-10:00pm,Universal Adventure ✖ Web3 In Bloom | Proof of Brew: Tasting the Crypto,"DFG, Jsquare and CoinList",https://lu.ma/a4q48irm,,,,,,,
"29th February, Friday",6:00pm-10:00pm,TAC and Chill @ Puttshack Denver,TAC,https://lu.ma/TACandChill_Der,,,,,,,
"29th February, Friday",6:00pm-10:00pm,"Somnia's Uniting Societies @ETHDenver 2025, Pizza Hour w/ Somnia &",Somnia,https://lu.ma/1prsinvj,,,,,,,
"29th February, Friday",6:00pm-11:00pm,AiFi Summit Denver,GAIB,https://lu.ma/AiFiSummitDenve,,,,,,,
"29th February, Friday",6:00pm-11:00pm,"Linea After Dark: A Night Out with Linea, ENS, Trusta Labs, and all of our",Linea,https://lu.ma/lineaafterdark,,,,,,,
"29th February, Friday",6:00pm-11:00pm,Karate Combat KC53 + IFC8 in Denver,Karate Combat,https://www.universe.com/evel,,,,,,,
"29th February, Friday",6:00pm-11:00pm,IQ50: Uniswap V4 Hook Founders Night @ EthDenver 2025,Semantic Layer,https://lu.ma/dgel102v,,,,,,,
"29th February, Friday",7:00pm-10:00pm,Sunrise DeFi Day,Reddy Builders,https://lu.ma/n129it64,,,,,,,
"29th February, Friday",7:00pm-10:00pm,deAI Ecosystem Dinner @ ETHDenver,Aethir and 0G,https://lu.ma/deai_ecosystem,,,,,,,
"29th February, Friday",7:30pm-10:30pm,GOAT Social: Bitcoin Founders & Funders Mixer,GOAT Network,https://lu.ma/goatsocialethden,,,,,,,
"29th February, Friday",8:00pm-11:00pm,0xMixer by Hexens,Hexens,https://lu.ma/79vay82k,,,,,,,
"29th February, Friday",8:00pm-11:00pm,Dogelon Mars Hangout @ETHDenver,4am Marketing,https://lu.ma/d9njjvvm,,,,,,,
"29th February, Friday",8:00pm-11:30pm,Gwei Gastropub | ETH Denver,"Republic, Superscrypt and F",https://lu.ma/hejkxOpd,,,,,,,
"29th February, Friday",8:00pm-12:00am,DEFI'ING DENVER | VC & LIQUID FUND PRIVATE DINNER,Turtle.Club,https://lu.ma/ytvcq4v8,,,,,,,
"29th February, Friday",8:00pm-1:30am,Conclave of the Celestials,Glow Foundation,https://lu.ma/6hz45cb6,,,,,,,
"29th February, Friday",8:00pm-2:00am,Proof of AI - Builder and Influencer Night by Paypal & KiteAI & 499,KiteAI and 499,https://lu.ma/vh7hrlp8,,,,,,,
"29th February, Friday",8:30pm-1:00am,Sips at MeowWolf by ProductShop & Absinthe,ProductShop and Absinthe,https://lu.ma/r38ron9y,,,,,,,
"29th February, Friday",10:00pm-2:00am,Mountain Time Lounge | ETHDenver 2025,"Zircuit, Mask, Fenwick and F",https://lu.ma/mountaintimelour,,,,,,,
"29th February, Friday",10:00pm-,"Tradwife Prom w Boys Club, Polygon, Space and Time","BoysClubWorld, Space and",https://partiful.com/e/Vysi4Co1,,,,,,,
"29th February, Friday",10:30pm-6:30am,Trenches RAVE,0xCypheer,https://lu.ma/omvmt6n5,,,,,,,
"29th February, Friday",11:00pm-5:00am,Regis Returns To Denver ++ [Rescheduled],Tekunomama,https://shotgun.live/en/events/,,,,,,,
"1st March, Saturday",1:00am-5:00am,Let's Get H(ai),AltLayer,https://lu.ma/letsgethai,,,,,,,
"1st March, Saturday",9:00am-11:00am,AI Crypto Trading Mastermind,Mike Sailor and ni¢k,https://lu.ma/9wnn27sn,,,,,,,
"1st March, Saturday",9:00am-11:00am,AI + DePIN Coffee Meetup w/ Halborn,Halborn,https://lu.ma/ethdenveraidepin,,,,,,,
"1st March, Saturday",9:00am-5:00pm,BUIDL Day @ ETHDenver Powered by DoraHacks,"DoraHacks, Dora Factory, C",https://lu.ma/xfvsquap,,,,,,,
"1st March, Saturday",10:00am-1:00pm,DCENTRAL x New Friendship Tech [Brunch],New Friendship Tech and D,https://lu.ma/lds8ul3j?tk=BMV,,,,,,,
"1st March, Saturday",11:00am-2:00pm,Eth4Good Impact Brunch,Blockchain4Good,https://lu.ma/el4p5mwo,,,,,,,
"1st March, Saturday",11:00am-3:00pm,AI Renaissance: Decentralized Intelligence & DePIN Innovations,XForge,https://lu.ma/wiph46w0,,,,,,,
"1st March, Saturday",11:00am-4:00pm,Injective Builder Day,Injective,https://lu.ma/Injective-BuilderL,,,,,,,
"1st March, Saturday",12:00pm-4:00pm,ZeFi Day | Building the Future of Private Finance with Zero-Knowledge Tech,Aleo,https://lu.ma/EthDenver_zefidé,,,,,,,
"1st March, Saturday",1:00pm-5:00pm,DogeCon Denver 2025,QED Protocol,https://lu.ma/jd2cvn1x,,,,,,,
"1st March, Saturday",2:00pm-6:00pm,DIA Infra Gardens V6 ETHDenver 25,DIA,https://lu.ma/InfraGardens-De!,,,,,,,
"1st March, Saturday",2:00pm-6:00pm,Institutional Day | Transforming Global Markets with Blockchain,"Republic Technologies, Cald",https://lu.ma/hodl,,,,,,,
"1st March, Saturday",5:00pm-7:00pm,XION: Makes Beers Disappear,Sam Wright,https://lu.ma/q731mhe4,,,,,,,
"1st March, Saturday",5:00pm-9:00pm,Farcaster Meetup ETHDenver 2025,McBain and Matthew,https://events.xyz/178373a0,,,,,,,
"1st March, Saturday",5:30pm-9:00pm,Builder Demo Days,Reddy Builders,https://lu.ma/gtsm0i71,,,,,,,
"1st March, Saturday",6:00pm-9:00pm,Sui Ecosystem Happy Hour | ETHDenver,Sui Community,https://lu.ma/gii2yk24,,,,,,,
"1st March, Saturday",6:00pm-9:00pm,Liquid Fund Asset Manager's Roundtable: Risk vs Yield on USDC/ETH/B1,Atomica,https://lu.ma/pb45n3fm,,,,,,,
"1st March, Saturday",6:00pm-10:00pm,Agents Unleashed: Builders Night @ETHDenver,Agents Unleashed,https://lu.ma/7ulasmk8,,,,,,,
"1st March, Saturday",6:00pm-10:00pm,DIA Infra Gardens ETHDenver Afterparty,DIA,https://lu.ma/o008tk85,,,,,,,
"1st March, Saturday",6:30pm-9:00pm,Based AI Agents Builder Night @ ETHDenver 2025,ni¢k,https://lu.ma/I3cadx8j,,,,,,,
"1st March, Saturday",7:00pm-10:00pm,Starknet VC and Founders Lounge,Starknet Foundation,https://lu.ma/SNDenverMixer,,,,,,,
"1st March, Saturday",7:30pm-1:00am,DCENTRAL x New Friendship Tech After Hours,DCENTRAL and New Friend,https://lu.ma/5ud6np22,,,,,,,
"1st March, Saturday",8:00pm-12:00am,Boys in Denver,Mantle Network and Petra,https://lu.ma/vdb3vzjb,,,,,,,
"1st March, Saturday",8:00pm-3:00am,Blockspace Mansion Closing with Blockravers,WebZero,https://lu.ma/blockraversmans,,,,,,,
"1st March, Saturday",9:00pm-1:00am,Mike Sailor's Token Launch Party,Mike Sailor and ni¢k,https://lu.ma/jasinx44,,,,,,,
"1st March, Saturday",9:00pm-2:00am,Official {bash} ETHDenver Closing Party [secured by Polkadot],{bash},https://lu.ma/tmgr2qq2,,,,,,,
"1st March, Saturday",9:00pm-4:00am,APRES-ETH,Digital Spenders Club,https://lu.ma/xjprhm5q,,,,,,,
"2nd March, Sunday",7:50am-10:00am,"The Games by Nillion, Scroll, and Mensana Fitness","Mensana Fitness, Nillion",https://lu.ma/jghhb618,,,,,,,
"2nd March, Sunday",10:30am-3:30pm,The AI-Powered Data Economy Driving Longevity,Avinasi Labs,https://lu.ma/4n08bjet,,,,,,,
"2nd March, Sunday",11:00am-2:00pm,Not Your Ordinary Crypto Brunch @ ETH Denver w/ Halborn & Orbs,Halborn and Orbs,https://lu.ma/ethdenverbtcbrur,,,,,,,
"2nd March, Sunday",11:00am-7:00pm,Abstract Denver,Everclear,https://lu.ma/abstractdenver,,,,,,,
"2nd March, Sunday",12:00pm-6:00pm,Winter Blunt Olympics: Race across Mount Kushmore,BluntDAO,https://lu.ma/5y5x94nf,,,,,,,
"2nd March, Sunday",4:00pm-10:00pm,DeFi Dialogs,Leveraged Tokenized Vaults,https://lu.ma/6ydnwbwi,,,,,,,
"2nd March, Sunday",5:00pm-8:00pm,The Big Blockspace BBQ Cookout,WebZero and Polkadot,https://lu.ma/tcuby7ye,,,,,,,
"2nd March, Sunday",11:30pm-4:00am,THE RARE SKI RETREAT,Vinith.N,https://lu.ma/jfkxlkxn,,,,,,,
"3rd March, Monday",9:00am-11:30am,ETHDenver Shuttles to Mountain Retreat: Breckenridge from Denver - ON,Modal Booking,https://lu.ma/breckshuttle,,,,,,,
"3rd March, Monday",4:00pm-7:00pm,Rare Ski Retreat Happy Hour,Rare Network,https://lu.ma/ihgdpon1,,,,,,,
Feb20-Mar3,,ZKVillage,ZKLab,https://www.zklab.systems/nev,,,,,,,
Feb 22-Feb26,,House of Ink: ETHDenver,ink,https://lu.ma/kvj8I82q,,,,,,,
Feb 22-Mar3,,WEB3 Treasure Hunt | $10.000 $USDC,D-Drops World,https://lu.ma/gfvkx7fk,,,,,,,
Feb 22-Mar3,,Sozu Haus Denver 2025,"Virtuals, Eliza, Mantle, Story",https://lu.ma/qx54h73e,,,,,,,
Feb23-Feb25,,Institute of Open Science Practices ‘25,SciOS and OpSci,https://iosp.io/,,,,,,,
Feb23-Feb26,,vlayer x ETH Denver Hacker House,vlayer,https://lu.ma/vlayerxethdenver,,,,,,,
Feb23-Feb26,,Hadron Ski House Denver,"Arpit, Hadron Founders Club",https://lu.ma/e7mccpf1,,,,,,,
Feb 23-Mar1,,HackSecret ETH Denver Hackerhouse,Secret Network and Autonor,https://lu.ma/1b214uv5,,,,,,,
Feb 23-Mar2,,Build Dapps in Denver with Web3 Alliance (Hackathon),Umar,https://lu.ma/6oye6evp,,,,,,,
Feb 23-Mar2,,Carrot Castle 🏰 Knight Nibbles-a-Lot,Christina BorrowLucid | Cho!,https://app.unlock-protocol.com,,,,,,,
Feb 23-Mar2,,Async House,,https://lu.ma/AsyncHouse,,,,,,,
Feb 23-Mar2,,Async House @ETHDenver 2025,,https://lu.ma/AsyncHackerHou,,,,,,,
"2nd March, Sunday",7:50am-10:00am,"The Games by Nillion, Scroll, and Mensana Fitness","Mensana Fitness, Nillion",https://lu.ma/jghhb618,,,,,,,
"2nd March, Sunday",10:30am-3:30pm,The AI-Powered Data Economy Driving Longevity,Avinasi Labs,https://lu.ma/4n08bjet,,,,,,,
"2nd March, Sunday",11:00am-2:00pm,Not Your Ordinary Crypto Brunch @ ETH Denver w/ Halborn & Orbs,Halborn and Orbs,https://lu.ma/ethdenverbtcbrur,,,,,,,
"2nd March, Sunday",11:00am-7:00pm,Abstract Denver,Everclear,https://lu.ma/abstractdenver,,,,,,,
"2nd March, Sunday",12:00pm-6:00pm,Winter Blunt Olympics: Race across Mount Kushmore,BluntDAO,https://lu.ma/5y5x94nf,,,,,,,
"2nd March, Sunday",4:00pm-10:00pm,DeFi Dialogs,Leveraged Tokenized Vaults,https://lu.ma/6ydnwbwi,,,,,,,
"2nd March, Sunday",5:00pm-8:00pm,The Big Blockspace BBQ Cookout,WebZero and Polkadot,https://lu.ma/tcuby7ye,,,,,,,
"2nd March, Sunday",11:30pm-4:00am,THE RARE SKI RETREAT,Vinith.N,https://lu.ma/jfkxlkxn,,,,,,,
"3rd March, Monday",9:00am-11:30am,ETHDenver Shuttles to Mountain Retreat: Breckenridge from Denver - ON,Modal Booking,https://lu.ma/breckshuttle,,,,,,,
"3rd March, Monday",4:00pm-7:00pm,Rare Ski Retreat Happy Hour,Rare Network,https://lu.ma/ihgdpon1,,,,,,,
Feb20-Mar3,ZKVillage,ZKLab,Denver,,,,,,,,
Feb22-Feb26,House of Ink: ETHDenver,ink,Denver,,,,,,,,
Feb22-Mar3,"WEB3 Treasure Hunt | $10,000 USDC",D-Drops World,Denver,,,,,,,,
Feb22-Mar3,Sozu Haus Denver 2025,"Virtuals, Eliza, Mantle, Story",Denver,,,,,,,,
Feb23-Feb25,Institute of Open Science Practices ‘25,SciOS and OpSci,Denver,,,,,,,,
Feb23-Feb26,vlayer x ETH Denver Hacker House,vlayer,4745 Carr St,,,,,,,,
Feb23-Feb26,Hadron Ski House Denver,"Arpit, Hadron Founders Club",Breckenridge,,,,,,,,
Feb23-Mar1,HackSecret ETH Denver Hackerhouse,Secret Network and Autonor,Register to see address,,,,,,,,
Feb23-Mar2,Build Dapps in Denver with Web3 Alliance (Hackathon),Umar,Register to see address,,,,,,,,
Feb23-Mar2,Carrot Castle ⚔ Knight Nibbles-a-Lot,Christina BorrowLucid | Cho!,Denver,,,,,,,,
Feb23-Mar2,Async House,,Register to see address,,,,,,,,
Feb23-Mar2,Async House @ ETHDenver 2025,,Denver,,,,,,,,
Feb27-Feb28,,Rain Cafe featuring Avalanche,Rain and Avalanche,https://lu.ma/h9rahnvt,,,,,,,
Feb27-Feb28,,Bitcoin Renaissance - 2025 Hosted by Babylon,Babylon,https://lu.ma/9abbcosp,,,,,,,
Feb27-Feb28,,"DAY ACCESS, Where The Future of Web3, AI, and Capital Markets Converge",DNA,https://lu.ma/z8b9db6p,,,,,,,
Feb28-Mar1,,ZK Hub of ETHDenver,House of ZK,https://blocklive.io/zkhubethde,,,,,,,
Feb28-Mar1,,Elastic House: Feb 28 - March 1,"Abstract, Pudgy Penguins, S",https://lu.ma/elastichouseethdenv,,,,,,,
Mar1-Mar2,,DCENTRAL x New Friendship Tech [EthDenver],DCENTRAL and New Friend,https://lu.ma/newfriendshiptecl,,,,,,,
Mar3-Mar10,,Superfluid ETHDenver Hacker House,Superfluid,https://airtable.com/appXJa42,,,,,,,
Mar3-Mar13,,SUI Summit,SUI,https://docs.google.com/forms,,,,,,,
